# rcsId, rcsxId, rcszId
1,0,0
2,5,0
3,10,0
4,15,0
5,20,0
6,25,0
7,30,0
8,35,0
9,40,0
10,45,0
11,50,0
12,55,0
13,60,0
14,65,0
15,70,0
16,75,0
17,80,0
18,85,0
19,90,0
20,95,0
21,100,0
22,105,0
23,110,0
24,115,0
25,120,0
26,125,0
27,130,0
28,135,0
29,140,0
30,145,0
31,150,0
32,155,0
33,160,0
34,165,0
35,170,0
36,175,0
37,180,0
38,185,0
39,190,0
40,195,0
41,200,0
42,205,0
43,210,0
44,215,0
45,220,0
46,225,0
47,230,0
48,235,0
49,240,0
50,245,0
51,250,0
52,255,0
53,260,0
54,265,0
55,270,0
56,275,0
57,280,0
58,285,0
59,290,0
60,295,0
61,300,0
62,305,0
63,310,0
64,315,0
65,320,0
66,325,0
67,330,0
68,335,0
69,340,0
70,345,0
71,350,0
72,355,0
73,360,0
74,365,0
75,370,0
76,375,0
77,380,0
78,385,0
79,390,0
80,395,0
81,400,0
82,405,0
83,410,0
84,415,0

